nfl_id,home_team,away_team,home_won,home_win_probability,home_score,predicted_home_score,away_score,predicted_away_score,home_total_yards,predicted_home_total_yards,away_yards,predicted_away_total_yards
2010091904,TEN,PIT,0.0,0.0,25.633689522743225,11.0,25.225236475467682,19.0,364.5518543124199,238.0,347.6391062736511,127.0
2010091905,DAL,CHI,0.0,0.0,26.317639350891113,20.0,25.87532639503479,27.0,359.9904724955559,410.0,344.10370576381683,308.0
2010091906,DET,PHI,0.0,0.0,27.551470398902893,32.0,26.892370879650116,35.0,355.228378534317,444.0,338.55478340387344,409.00000000000006
2010091907,ATL,ARI,1.0,1.0,20.90010941028595,41.0,21.871584832668304,7.0,370.16914987564087,444.0,366.73711401224136,267.0
2010091908,CAR,TB,0.0,0.0,25.908393621444702,7.0,25.512089490890503,20.0,362.14733278751373,278.0,346.08591544628143,273.0
2010091912,CIN,BAL,1.0,1.0,22.021597623825073,15.0,22.816408395767212,10.0,365.54353404045105,253.0,361.34479081630707,259.0
2010091909,DEN,SEA,1.0,1.0,21.149344205856323,31.0,21.973053693771362,14.0,371.6660017967224,369.0,366.10642486810684,339.0
2010091910,OAK,STL,1.0,1.0,22.106178104877472,16.0,22.73012799024582,14.0,368.8102324604988,404.0,361.76579958200455,210.0
2010091900,WAS,HOU,0.0,0.0,26.249973118305206,27.0,25.803271770477295,30.0,360.6118101477623,420.99999999999994,344.4917160272598,526.0
2010091911,NYJ,NE,1.0,1.0,20.534603476524353,28.0,21.48928290605545,14.0,373.40997838974,336.0,368.90888303518295,291.0
2010091913,SD,JAC,1.0,1.0,20.641595244407654,38.0,21.562244772911072,13.0,373.3712310194969,476.99999999999994,368.47944259643555,350.0
2010091914,IND,NYG,1.0,1.0,20.545981884002686,38.0,21.528183460235596,14.0,372.6763078570366,410.0,368.69694143533707,257.0
2010092000,SF,NO,0.0,0.0,27.667591869831085,22.0,27.03360688686371,25.0,353.7831131219864,417.0,337.80643409490585,287.0
2010092600,NYG,TEN,0.0,0.0,26.893621802330017,10.0,26.295074701309204,29.0,358.9761039018631,470.99999999999994,341.7852256298065,271.0
2010092601,CAR,CIN,0.0,0.0,26.3652446269989,7.0,25.903450906276703,20.0,360.0518320798874,267.0,343.94496035575867,305.0
2010092602,TB,PIT,0.0,0.0,27.110735416412354,13.0,26.53783869743347,38.0,356.7343519926071,303.0,340.48782110214233,387.0
2010092603,NE,BUF,1.0,1.0,21.17618638277054,38.0,22.01236629486084,30.0,371.166731774807,445.0,365.8882361650467,374.0
2010092604,BAL,CLE,1.0,1.0,20.789797246456146,24.0,21.75798738002777,17.0,371.1042990684509,364.99999999999994,367.3816770911217,304.0
2010092605,MIN,DET,1.0,1.0,20.60282588005066,24.0,21.564680099487305,10.0,372.7095746397972,368.0,368.48097562789917,295.0
2010092606,NO,ATL,0.0,0.0,26.15738081932068,24.0,25.677942991256714,27.0,362.05328130722046,398.0,345.15850806236267,417.0
