posistion,name,team,stat_total,last_game
d,A.Chapman,IND,0.99998000099995,2013082402
d,A.Chesley,CIN,0.4666611114629429,2019082252
d,A.Chickillo,PIT,0.4716594557976995,2019110306
d,A.Cioffi,OAK,0.566664444685169,2017083164
d,A.Clayborn,ATL,0.45492480852562683,2019102700
d,A.Cleveland,SD,0.399990000499975,2016082851
d,A.Colbert,SF,0.6190455498837075,2019081053
d,A.Cole,JAX,0.8636286171271704,2017082451
d,A.Coleman,TB,0.420001460256057,2018083065
d,A.Colquhoun,DAL,0.2,2016081353
d,A.Colvin,HOU,0.7456888148285254,2019090900
d,A.Cromartie,IND,0.5421875768233628,2016100200
d,A.Crowell,TB,0.4,2009082253
d,A.Cunningham,STL,1.0,2014082804
d,A.Curry,NYG,0.842233146333119,2013082401
d,A.Dalton,DET,0.2,2014082200
d,A.Daniels,NO,0.2,2012082554
d,A.Darby,IND,0.6937589874100897,2016090154
d,A.Davis,OAK,0.8800453542707587,2018083064
d,A.Dennard,NE,0.6400066908892256,2014101600
d,A.Dent,JAX,0.7429251761402437,2017083152
d,A.Dixon,DAL,0.4393942393485176,2014082810
d,A.Donald,LA,0.6982095344458491,2019102706
d,A.Draughn,NYJ,0.4,2017083151
d,A.Economos,TB,0.2,2013081601
d,A.Edds,NYJ,0.8194421676512885,2014082805
d,A.Ekeler,LAC,0.2,2018111109
d,A.Elam,KC,0.9174147869019444,2012112504
d,A.Ellison,JAC,0.3999905704214522,2010090254
d,A.English,CLE,0.6036904723617081,2012082451
d,A.Erickson,CIN,0.2,2017102208
d,A.Etukeren,BUF,0.5333188895370071,2009082953
d,A.Exford,HOU,0.5333255556481535,2019082451
d,A.Exum,SF,0.6843467114402728,2019082964
d,A.Felder,SD,0.5333283335833208,2009082950
d,A.Fenelus,IND,0.4,2012081251
d,A.Field,ARI,0.2999950002499875,2009090361
d,A.Fincher,WAS,0.2,2009081352
d,A.Firkser,TEN,0.2,2018121608
d,A.Fluellen,DET,0.3863599396573773,2015110100
d,A.Francis,NYG,0.4479988381730594,2018083060
d,A.Francisco,TEN,0.7804491936817939,2012081152
d,A.Franklin,IND,0.4631002915676593,2014011101
d,A.Frazier,PIT,0.3999966666111214,2009090360
d,A.Freeman,PIT,0.2,2012080954
d,A.Fua,ARI,0.32500030074410213,2016082852
d,A.Gachkar,JAX,0.6213290776679732,2017083152
d,A.Gaitor,TB,0.5041696831967862,2014082808
d,A.Garay,NYJ,0.6013057021486199,2013082900
d,A.Glanton,TB,0.7693387993824168,2017121800
d,A.Gooden,DEN,0.749989583899269,2019082957
d,A.Goodman,DEN,0.5891288267367502,2012011400
d,A.Gordon,KC,0.43666244591186204,2012083054
d,A.Gotsis,DEN,0.482392061379457,2019110309
d,A.Grady,IND,0.9333188902036185,2009090353
d,A.Gray,PIT,0.4,2011081253
d,A.Grymes,PHI,0.9199892677340437,2017083151
d,A.Hal,HOU,0.7044595764717986,2018123003
d,A.Hall,CAR,0.43037510096334214,2014082201
d,A.Hamilton,NYG,0.5539263720412633,2019102006
d,A.Harris,MIN,0.7666692391921853,2019110303
d,A.Harrison,PIT,0.6749900700514765,2009090360
d,A.Hawk,CIN,1.1002435669557493,2016010901
d,A.Hawkins,CLE,0.2,2015082052
